,rollno,std,gender,sibling,place,transport ,income,dropout
0,1,1,0,2,0,2.0,24000,0
1,2,2,1,1,1,4.0,60000,1
2,3,3,0,0,2,5.0,96000,1
3,4,4,0,1,1,3.0,25000,0
4,5,5,1,1,2,4.5,80000,1
5,6,8,0,1,0,1.0,35000,0
6,7,10,1,2,1,3.0,55000,0
7,8,12,1,0,2,4.7,92000,1
8,9,7,0,1,2,4.0,98000,1
9,10,9,1,3,0,1.8,33000,0
10,10,6,0,0,0,1.0,52511,0
11,11,6,0,0,0,0.0,40609,0
12,12,8,0,1,0,0.0,52025,0
13,13,5,0,2,1,2.0,75730,1
14,14,3,0,0,1,3.0,64535,1
15,15,2,0,2,0,1.0,53878,0
16,16,10,0,1,1,3.0,77183,1
17,17,7,0,1,1,2.0,69960,1
18,18,4,0,2,1,3.0,56926,1
19,19,4,0,2,1,3.0,74105,1
20,20,5,0,0,1,2.0,74380,1
21,21,5,0,0,1,3.0,69555,1
22,22,3,0,0,0,1.0,32313,0
23,23,3,0,2,1,2.0,49832,0
24,24,10,0,2,1,3.0,76196,1
25,25,6,0,1,1,2.0,67814,1
26,26,1,0,2,0,1.0,54447,0
27,27,8,0,1,1,2.0,40243,0
28,28,1,0,0,1,3.0,77559,1
29,29,2,0,1,1,2.0,73229,1
30,30,5,0,1,0,1.0,24059,0
31,31,8,0,1,0,0.0,21067,0
32,32,5,0,1,0,0.0,32016,0
33,33,3,0,0,1,3.0,51274,0
34,34,2,0,1,0,0.0,46314,0
35,35,5,0,0,0,0.0,45182,0
36,36,10,0,0,0,1.0,24979,0
37,37,3,0,0,0,0.0,48938,0
38,38,1,0,1,0,0.0,36359,0
39,39,7,0,1,1,2.0,66794,1
40,40,7,0,0,0,1.0,26629,0
41,41,2,0,2,1,2.0,62197,1
42,42,1,0,1,0,1.0,53273,0
43,43,10,0,1,0,0.0,22189,0
44,44,5,0,2,1,3.0,73464,1
45,45,9,0,1,0,1.0,34535,0
46,46,6,0,0,1,3.0,59192,1
47,47,9,0,1,1,3.0,66993,1
48,48,9,0,2,1,3.0,78122,1
49,49,4,0,0,0,0.0,35310,0
50,50,1,0,1,1,3.0,57227,1
51,51,6,0,1,1,2.0,50882,0
52,52,4,0,0,0,1.0,43840,0
53,53,8,0,2,1,2.0,52510,0
54,54,9,0,1,1,2.0,68168,1
55,55,3,0,1,0,0.0,29329,0
56,56,5,0,0,1,3.0,41694,0
57,57,4,0,2,1,3.0,55075,1
58,58,4,0,2,0,0.0,47364,0
59,59,4,0,0,1,2.0,66853,1
60,60,7,0,1,1,3.0,56241,1
61,61,1,0,2,0,0.0,49378,0
62,62,3,0,2,1,2.0,55548,1
63,63,2,0,1,0,0.0,30921,0
64,64,7,0,1,0,0.0,33360,0
65,65,10,0,2,0,0.0,21527,0
66,66,4,0,1,0,1.0,47356,0
67,67,5,0,2,1,2.0,43605,0
68,68,4,0,0,0,0.0,32206,0
69,69,8,0,0,0,1.0,36527,0
70,70,6,0,0,1,3.0,75770,1
71,71,3,0,2,1,3.0,74348,1
72,72,7,0,2,0,0.0,44474,0
73,73,8,0,1,1,2.0,78348,1
74,74,7,0,0,1,3.0,50657,0
75,75,9,0,1,1,3.0,78196,1
76,76,2,0,2,1,2.0,44064,0
77,77,5,0,2,1,2.0,73856,1
78,78,3,0,0,1,2.0,64646,1
79,79,8,0,2,1,3.0,41200,0
80,80,7,0,1,0,0.0,46050,0
81,81,10,0,2,1,3.0,75721,1
82,82,10,0,0,1,3.0,59190,1
83,83,5,0,0,0,0.0,36489,0
84,84,1,0,0,0,0.0,51859,0
85,85,5,0,1,1,2.0,77201,1
86,86,6,0,1,0,0.0,35662,0
87,87,9,0,0,0,1.0,54531,0
88,88,10,0,1,0,0.0,26884,0
89,89,3,0,1,0,0.0,22547,0
90,90,9,0,1,1,3.0,42559,0
91,91,3,0,2,0,0.0,45291,0
92,92,9,0,1,0,1.0,26108,0
93,93,10,0,1,0,1.0,41738,0
94,94,7,0,2,0,0.0,23726,0
95,95,8,0,0,0,0.0,26833,0
96,96,1,0,2,1,2.0,68102,1
97,97,3,0,0,1,2.0,66214,1
98,98,10,0,2,0,1.0,36903,0
99,99,1,0,1,1,3.0,78333,1
100,100,9,0,2,0,0.0,53712,0
101,101,8,0,2,0,1.0,45280,0
102,102,2,0,2,1,2.0,52810,0
103,103,10,0,1,1,2.0,40042,0
104,104,5,0,1,0,0.0,44407,0
105,105,6,0,1,0,0.0,27880,0
106,106,6,0,0,1,2.0,64909,1
107,107,5,0,0,0,0.0,24763,0
108,108,5,0,2,0,0.0,33442,0
109,109,1,0,0,1,2.0,60986,1
110,110,3,0,2,1,3.0,48336,0
111,111,1,0,0,1,3.0,43820,0
112,112,4,0,0,0,1.0,35893,0
113,113,2,0,0,1,2.0,71811,1
